dataset,seed,mono_rate,flagged_models,gc_optimal,v_grand,v_max,has_signal,coverage,rank_stability
rmftsa_ladata,4,0.4,"RF,XGB",False,0.9443573667711598,0.9580721003134796,True,-4.711640211640213,0.9999999999999999
threeOf9,0,0.0875,,True,1.0,1.0,True,-4.249129593810445,0.9999999999999999
threeOf9,1,0.05,,True,1.0,1.0,True,-4.537330754352031,0.9999999999999999
threeOf9,2,0.125,LR,True,1.0,1.0,True,-4.173694390715669,0.9999999999999999
threeOf9,3,0.1125,LR,True,1.0,1.0,True,-4.3253384912959385,0.9999999999999999
threeOf9,4,0.025,,True,1.0,1.0,True,-4.491682785299807,0.9999999999999999
diabetes_risk_prediction_dataset,0,0.3375,"LR,SVM,KNN",False,0.995703125,1.0,True,-4.887312844759654,0.9999999999999999
diabetes_risk_prediction_dataset,1,0.3,LR,False,0.997265625,0.99921875,True,-4.795758051846032,0.9999999999999999
diabetes_risk_prediction_dataset,2,0.2625,"LR,XGB",False,0.9964843750000001,0.9988281250000001,True,-4.787962234461052,0.9999999999999999
diabetes_risk_prediction_dataset,3,0.3375,"LR,KNN",False,0.994921875,0.99609375,True,-4.810970797158644,1.0
diabetes_risk_prediction_dataset,4,0.4375,"LR,XGB,KNN",False,0.994140625,0.998828125,True,-4.892094861660079,0.9999999999999999
kc2,0,0.3125,"RF,XGB",False,0.8092369477911646,0.8436603557085484,True,-3.540816326530612,0.9999999999999999
kc2,1,0.3375,"LR,SVM",False,0.9254159495123351,0.9345955249569707,True,-3.7923128792987195,0.9999999999999999
kc2,2,0.3875,"XGB,KNN",False,0.8207114170969593,0.84021801491681,True,-4.172629695885508,0.9999999999999999
kc2,3,0.4125,"SVM,XGB",False,0.8462421113023523,0.8732071141709696,True,-3.632145816072906,0.9999999999999999
kc2,4,0.2,XGB,False,0.8602983362019506,0.8775100401606426,True,-3.3781847133757963,0.9999999999999999
water-treatment,0,0.3875,"RF,SVM,KNN",False,0.9943820224719101,1.0,True,-2.57528409090909,0.9999999999999999
water-treatment,1,0.45,"RF,SVM,KNN",False,0.9859550561797752,0.9985955056179775,True,-3.661849710982659,0.9999999999999999
water-treatment,2,0.55,"LR,SVM,KNN",False,0.961376404494382,0.9978932584269662,True,-1.85007610350076,0.9999999999999999
water-treatment,3,0.55,"LR,RF,SVM,KNN",False,0.990870786516854,1.0,True,-3.100143061516453,0.9999999999999999
water-treatment,4,0.4375,"LR,SVM,KNN",False,0.9866573033707865,0.9971910112359551,True,-1.6832611832611835,0.9999999999999999
doa_bwin,0,0.5,"LR,SVM,KNN",False,0.6156941649899397,0.6490945674044266,True,-1.8069565217391277,0.9999999999999999
doa_bwin,1,0.325,"LR,XGB",False,0.613682092555332,0.6523138832997988,True,-5.051327433628317,0.9999999999999999
doa_bwin,2,0.425,"LR,RF,SVM,KNN",False,0.6056338028169014,0.628169014084507,True,-2.146666666666676,0.9999999999999999
doa_bwin,3,0.4625,"RF,SVM",False,0.5050301810865191,0.516297786720322,True,22.27999999999997,0.9999999999999999
doa_bwin,4,0.3375,"XGB,KNN",False,0.6,0.6631790744466801,True,-5.221327967806841,0.9999999999999999
bwin_amlb,0,0.5,"LR,SVM,KNN",False,0.6156941649899397,0.6490945674044266,True,-1.8069565217391277,0.9999999999999999
bwin_amlb,1,0.325,"LR,XGB",False,0.613682092555332,0.6523138832997988,True,-5.051327433628317,0.9999999999999999
bwin_amlb,2,0.425,"LR,RF,SVM,KNN",False,0.6056338028169014,0.628169014084507,True,-2.146666666666676,0.9999999999999999
bwin_amlb,3,0.4625,"RF,SVM",False,0.5050301810865191,0.516297786720322,True,22.27999999999997,0.9999999999999999
bwin_amlb,4,0.325,"XGB,KNN",False,0.6,0.6631790744466801,True,-5.217303822937628,0.9999999999999999
cylinder-bands,0,0.375,"LR,SVM",False,0.8095238095238095,0.8523809523809524,True,-3.857549857549858,0.9999999999999999
cylinder-bands,1,0.4375,"LR,SVM,KNN",False,0.8075035063113604,0.8429172510518934,True,-3.7816419612314753,0.9999999999999999
cylinder-bands,2,0.4125,"LR,SVM,KNN",False,0.8680776014109347,0.8947089947089947,True,-3.8519405845711545,0.9999999999999999
cylinder-bands,3,0.25,LR,False,0.874074074074074,0.8811287477954144,True,-4.093823668081097,0.9999999999999999
cylinder-bands,4,0.3375,"LR,KNN",False,0.8811287477954144,0.9040564373897707,True,-4.142526608051829,0.9999999999999999
monks-problems-3,0,0.2375,"LR,KNN",True,1.0,1.0,True,-4.497397527651269,0.9999999999999999
monks-problems-3,1,0.3,KNN,False,0.996096291476903,0.9986987638256344,True,-4.329508196721313,0.9999999999999999
monks-problems-3,2,0.4,"LR,KNN",False,0.9934938191281717,1.0,True,-4.096901779828609,0.9999999999999999
monks-problems-3,3,0.2375,RF,False,0.9962589459986987,0.9965842550422902,True,-4.438872500819405,0.9999999999999999
monks-problems-3,4,0.275,"LR,RF",False,0.9912166558230319,0.9951203643461288,True,-4.6258278145695355,0.9999999999999999
wdbc,0,0.3625,"RF,KNN",False,0.986570586308549,0.9898460530625615,True,-4.698418041063612,0.9999999999999999
wdbc,1,0.375,"LR,SVM,KNN",False,0.9887566137566137,0.990079365079365,True,-4.92151556156969,0.9999999999999999
wdbc,2,0.3875,"XGB,KNN",False,0.9941041598427776,0.9963969865705863,True,-4.844216108717269,0.9999999999999999
wdbc,3,0.3625,"LR,XGB",False,0.9990173599737963,0.9998362266622993,True,-4.978011158516573,0.9999999999999999
wdbc,4,0.3875,"RF,KNN",False,0.9950867998689814,0.9980347199475925,True,-4.844856103208732,0.9999999999999999
sensory,0,0.4125,"LR,SVM",False,0.7033582089552238,0.7325870646766168,True,-1.8417431192660494,0.9999999999999999
sensory,1,0.5,"LR,SVM,KNN",False,0.7332089552238805,0.7689676616915422,True,-1.4353333333333331,0.9999999999999999
sensory,2,0.55,"LR,SVM,KNN",False,0.5413557213930348,0.6181592039800996,True,0.5075187969924719,0.9999999999999999
sensory,3,0.375,"LR,KNN",False,0.708955223880597,0.724502487562189,True,-2.382440476190477,0.9999999999999999
sensory,4,0.3875,"LR,SVM",False,0.7297885572139303,0.7412935323383084,True,-1.3552097428958056,0.9999999999999999
ilpd-numeric,0,0.3375,"SVM,KNN",False,0.7289156626506024,0.7367115520907158,True,-3.058823529411766,0.9999999999999999
ilpd-numeric,1,0.3625,"SVM,XGB,KNN",False,0.6991341991341992,0.715007215007215,True,-3.773550724637678,0.9999999999999999
ilpd-numeric,2,0.375,"RF,XGB,KNN",False,0.7409638554216867,0.7934089298369951,True,-3.8161764705882355,0.9999999999999999
ilpd-numeric,3,0.3625,"SVM,KNN",False,0.6909992912827781,0.7391920623671155,True,-3.071428571428572,0.9999999999999999
ilpd-numeric,4,0.2125,RF,False,0.6963146704464918,0.7058823529411764,True,-3.4368231046931443,0.9999999999999999
ilpd,0,0.3375,"SVM,KNN",False,0.7289156626506024,0.7367115520907158,True,-3.058823529411766,0.9999999999999999
ilpd,1,0.3625,"SVM,XGB,KNN",False,0.6991341991341992,0.715007215007215,True,-3.773550724637678,0.9999999999999999
ilpd,2,0.375,"RF,XGB,KNN",False,0.7409638554216867,0.7934089298369951,True,-3.8161764705882355,0.9999999999999999
ilpd,3,0.3625,"SVM,KNN",False,0.6909992912827781,0.7391920623671155,True,-3.071428571428572,0.9999999999999999
ilpd,4,0.2125,RF,False,0.6963146704464918,0.7058823529411764,True,-3.4368231046931443,0.9999999999999999
isolet,0,0.0125,,True,1.0,1.0,True,-4.994722222222223,0.9999999999999999
isolet,1,0.175,XGB,True,1.0,1.0,True,-4.976944444444444,1.0
isolet,2,0.025,,True,1.0,1.0,True,-4.993333333333334,1.0
isolet,3,0.0125,,True,1.0,1.0,True,-4.9925,0.9999999999999999
isolet,4,0.0,,True,1.0,1.0,True,-4.983055555555556,1.0
synthetic_control,0,0.0,,True,1.0,1.0,True,-5.0,1.0
synthetic_control,1,0.0,,True,1.0,1.0,True,-4.991,1.0
synthetic_control,2,0.0,,True,1.0,1.0,True,-5.0,1.0
synthetic_control,3,0.0,,True,1.0,1.0,True,-5.0,1.0
synthetic_control,4,0.0,,True,1.0,1.0,True,-5.0,1.0
Loan-Predication,0,0.3375,"XGB,KNN",False,0.7780185758513932,0.8074303405572756,True,-4.726614699331851,0.9999999999999999
Loan-Predication,1,0.3,"SVM,KNN",False,0.8137973137973138,0.8275335775335775,True,-3.5841439688715955,0.9999999999999999
Loan-Predication,2,0.225,"LR,SVM",False,0.7331269349845201,0.7359133126934985,True,-3.956175298804783,0.9999999999999999
Loan-Predication,3,0.3625,"SVM,KNN",False,0.8003095975232198,0.8219814241486069,True,-3.602061855670104,0.9999999999999999
Loan-Predication,4,0.425,"LR,SVM,KNN",False,0.7941176470588236,0.8130030959752322,True,-4.333157894736844,0.9999999999999999
balance-scale,0,0.425,"RF,XGB,KNN",False,0.9868759650025734,0.9953679876479671,True,-4.826109936575054,0.9999999999999999
balance-scale,1,0.3625,"RF,KNN",False,0.9932920536635708,0.9963880288957688,True,-4.793933054393303,0.9999999999999999
balance-scale,2,0.25,RF,False,0.9961399897066392,0.9969119917653114,True,-4.802385892116181,0.9999999999999999
balance-scale,3,0.3125,"LR,RF",False,0.9943386515697376,0.9971693257848687,True,-4.850078084331077,0.9999999999999999
balance-scale,4,0.4,"RF,XGB,KNN",False,0.9940813175501801,0.9974266598044261,True,-4.811197916666666,0.9999999999999999
strikes,0,0.4875,"LR,SVM,KNN",False,0.9915514592933948,1.0,True,-3.2690104166666654,0.9999999999999999
strikes,1,0.4125,"LR,SVM,KNN",False,0.9918074756784434,1.0,True,-2.5382613222280064,0.9999999999999999
strikes,2,0.425,"LR,SVM",False,0.9895033282130057,1.0,True,-2.0091527196652716,0.9999999999999999
strikes,3,0.4625,"LR,SVM,KNN",False,0.9879672299027138,0.999231950844854,True,-2.9968520461699883,0.9999999999999999
strikes,4,0.45,"LR,SVM,KNN",False,0.984126984126984,0.9979518689196109,True,-2.3773135906927556,0.9999999999999999
disclosure_x_noise,0,0.275,"XGB,KNN",False,0.534435261707989,0.550734618916437,True,-1.673333333333329,0.9999999999999999
disclosure_x_noise,1,0.3625,"LR,SVM",False,0.5420110192837465,0.5541781450872361,True,0.8633879781420813,0.9999999999999999
disclosure_x_noise,2,0.5,"RF,SVM,XGB",False,0.4862258953168044,0.5670339761248853,True,2.841666666666677,0.9999999999999999
disclosure_x_noise,3,0.475,"LR,SVM,XGB",False,0.5906795224977044,0.6291322314049587,True,1.899999999999996,0.9999999999999999
disclosure_x_noise,4,0.3625,XGB,False,0.4761248852157944,0.511248852157943,True,-1.9423076923077265,0.9999999999999999
disclosure_z,0,0.3875,"RF,KNN",False,0.5270301357257879,0.5619967793880837,True,-3.6042553191489732,0.9999999999999999
disclosure_z,1,0.5625,"SVM,XGB,KNN",False,0.4973544973544974,0.596733379342075,True,-33.521739130434995,0.9999999999999999
