dataset,seed,method,auc_roc,neg_brier,cv_lambda
Australian Credit,2,Best-Single,0.8993589743589744,-0.12785018171934914,0.0
Australian Credit,2,Stacking,0.894017094017094,-0.1385103461144384,
Sonar,0,Equal,0.9359267734553776,-0.12184862038837861,0.5
Sonar,0,Perf-Weighted,0.9405034324942791,-0.120048852070418,0.5
Sonar,0,Individual-Only,0.9405034324942791,-0.120048852070418,0.5
Sonar,0,Interaction-Only,0.8810068649885583,-0.13876620019030086,0.5
Sonar,0,Coopetitive-0.5,0.9519450800915332,-0.11826125895621191,0.5
Sonar,0,Coopetitive-CV,0.9519450800915332,-0.11826125895621191,0.5
Sonar,0,Shapley,0.9427917620137299,-0.11861743269096477,0.5
Sonar,0,Shapley+SII,0.94279176201373,-0.12275148680707434,0.5
Sonar,0,Best-Single,0.931350114416476,-0.13945578231292516,0.5
Sonar,0,Stacking,0.9405034324942791,-0.14558279504340416,
Sonar,1,Equal,0.8993135011441648,-0.13637830782634666,0.0
Sonar,1,Perf-Weighted,0.9107551487414187,-0.133451508095471,0.0
Sonar,1,Individual-Only,0.9107551487414187,-0.133451508095471,0.0
Sonar,1,Interaction-Only,0.8558352402745996,-0.15890608222975114,0.0
Sonar,1,Coopetitive-0.5,0.9267734553775744,-0.12954581138413443,0.0
Sonar,1,Coopetitive-CV,0.9244851258581236,-0.1311930642532802,0.0
Sonar,1,Shapley,0.9221967963386728,-0.13131387353655466,0.0
Sonar,1,Shapley+SII,0.9267734553775744,-0.12602862918578925,0.0
Sonar,1,Best-Single,0.8947368421052632,-0.13502697809294087,0.0
Sonar,1,Stacking,0.9107551487414187,-0.17430429134422235,
Sonar,2,Equal,0.9176201372997712,-0.1290631335374059,1.9
Sonar,2,Perf-Weighted,0.9221967963386728,-0.12783439204932082,1.9
Sonar,2,Individual-Only,0.9221967963386728,-0.12783439204932082,1.9
Sonar,2,Interaction-Only,0.8764302059496567,-0.14104916649413649,1.9
Sonar,2,Coopetitive-0.5,0.9519450800915332,-0.12887971527490752,1.9
Sonar,2,Coopetitive-CV,0.9244851258581236,-0.12473890256801669,1.9
Sonar,2,Shapley,0.931350114416476,-0.12610262676389808,1.9
Sonar,2,Shapley+SII,0.9542334096109839,-0.12820765493588512,1.9
Sonar,2,Best-Single,0.9107551487414188,-0.15840621963070942,1.9
Sonar,2,Stacking,0.9244851258581236,-0.1455858042353202,
SPECT Heart,0,Equal,0.930232558139535,-0.0802502367124889,0.0
SPECT Heart,0,Perf-Weighted,0.9260042283298098,-0.07927514658678969,0.0
SPECT Heart,0,Individual-Only,0.9260042283298098,-0.07927514658678969,0.0
SPECT Heart,0,Interaction-Only,0.9682875264270614,-0.08040442679504557,0.0
SPECT Heart,0,Coopetitive-0.5,0.9175475687103595,-0.07438795265507438,0.0
SPECT Heart,0,Coopetitive-CV,0.9090909090909091,-0.07633245215739898,0.0
SPECT Heart,0,Shapley,0.9260042283298097,-0.07728617031624525,0.0
SPECT Heart,0,Shapley+SII,0.9682875264270614,-0.07439444728800247,0.0
SPECT Heart,0,Best-Single,0.9090909090909091,-0.06373711237436364,0.0
SPECT Heart,0,Stacking,0.9513742071881607,-0.055375628649343187,
SPECT Heart,1,Equal,0.9302325581395349,-0.09181303546208787,0.6
SPECT Heart,1,Perf-Weighted,0.9323467230443975,-0.09165038313371278,0.6
SPECT Heart,1,Individual-Only,0.9323467230443975,-0.09165038313371278,0.6
SPECT Heart,1,Interaction-Only,0.9260042283298098,-0.09392923790030956,0.6
SPECT Heart,1,Coopetitive-0.5,0.9175475687103594,-0.08843196169430902,0.6
SPECT Heart,1,Coopetitive-CV,0.9175475687103594,-0.08777110808831941,0.6
SPECT Heart,1,Shapley,0.9323467230443975,-0.09126260271070909,0.6
SPECT Heart,1,Shapley+SII,0.9323467230443974,-0.09214399969726825,0.6
SPECT Heart,1,Best-Single,0.854122621564482,-0.10710972222222222,0.6
SPECT Heart,1,Stacking,0.9133192389006343,-0.0869699204127797,
SPECT Heart,2,Equal,0.9682875264270613,-0.08330735525237637,0.7
SPECT Heart,2,Perf-Weighted,0.9682875264270613,-0.08206919835437002,0.7
SPECT Heart,2,Individual-Only,0.9682875264270613,-0.08206919835437002,0.7
SPECT Heart,2,Interaction-Only,0.9577167019027484,-0.09167545372000951,0.7
SPECT Heart,2,Coopetitive-0.5,0.9746300211416491,-0.06936990063438998,0.7
SPECT Heart,2,Coopetitive-CV,0.9788583509513742,-0.0697423170225422,0.7
SPECT Heart,2,Shapley,0.9682875264270613,-0.08035151633319364,0.7
SPECT Heart,2,Shapley+SII,0.9661733615221987,-0.08082095473215256,0.7
SPECT Heart,2,Best-Single,0.9746300211416491,-0.053735011230580096,0.7
SPECT Heart,2,Stacking,0.9238900634249472,-0.06878188204844998,
Haberman Survival,0,Equal,0.9361413043478262,-0.07459302393527911,1.4
Haberman Survival,0,Perf-Weighted,0.9375,-0.07436855905093996,1.4
Haberman Survival,0,Individual-Only,0.9375,-0.07436855905093996,1.4
Haberman Survival,0,Interaction-Only,0.9334239130434783,-0.07634956158066566,1.4
Haberman Survival,0,Coopetitive-0.5,0.9551630434782609,-0.06702102704068583,1.4
Haberman Survival,0,Coopetitive-CV,0.9578804347826086,-0.06609855787689169,1.4
Haberman Survival,0,Shapley,0.938858695652174,-0.07403428984202007,1.4
Haberman Survival,0,Shapley+SII,0.9538043478260869,-0.06986669223179506,1.4
Haberman Survival,0,Best-Single,0.9524456521739131,-0.06357379858617594,1.4
Haberman Survival,0,Stacking,0.9415760869565218,-0.09236039600179616,
Haberman Survival,1,Equal,0.9836956521739131,-0.040015710205948,0.0
Haberman Survival,1,Perf-Weighted,0.9836956521739131,-0.04014374400044268,0.0
Haberman Survival,1,Individual-Only,0.9836956521739131,-0.04014374400044268,0.0
Haberman Survival,1,Interaction-Only,0.9864130434782609,-0.03904054159435296,0.0
Haberman Survival,1,Coopetitive-0.5,0.9823369565217392,-0.04444109682869678,0.0
Haberman Survival,1,Coopetitive-CV,0.9836956521739131,-0.04453154272490563,0.0
Haberman Survival,1,Shapley,0.985054347826087,-0.04054731294159566,0.0
Haberman Survival,1,Shapley+SII,0.9823369565217391,-0.0459646774936027,0.0
Haberman Survival,1,Best-Single,0.9748641304347826,-0.05039193548387096,0.0
Haberman Survival,1,Stacking,0.985054347826087,-0.05028521736685621,
Haberman Survival,2,Equal,0.9741847826086957,-0.06521697046538735,1.4
Haberman Survival,2,Perf-Weighted,0.9741847826086957,-0.06514772293092823,1.4
Haberman Survival,2,Individual-Only,0.9741847826086957,-0.06514772293092823,1.4
Haberman Survival,2,Interaction-Only,0.9633152173913043,-0.07650647753487716,1.4
Haberman Survival,2,Coopetitive-0.5,0.9741847826086956,-0.0681376041979839,1.4
Haberman Survival,2,Coopetitive-CV,0.9646739130434783,-0.07630939951703908,1.4
Haberman Survival,2,Shapley,0.9741847826086957,-0.06515407633524273,1.4
Haberman Survival,2,Shapley+SII,0.9660326086956521,-0.07243236518026494,1.4
Haberman Survival,2,Best-Single,0.9456521739130436,-0.08420040322580646,1.4
Haberman Survival,2,Stacking,0.9741847826086957,-0.0803769340973077,
Banknote Auth,0,Equal,0.9872276483846731,-0.042325217523276386,1.9
Banknote Auth,0,Perf-Weighted,0.9872276483846731,-0.0423381436388181,1.9
Banknote Auth,0,Individual-Only,0.9872276483846731,-0.0423381436388181,1.9
Banknote Auth,0,Interaction-Only,0.9868519909842224,-0.04318020714090162,1.9
Banknote Auth,0,Coopetitive-0.5,0.9854030267253407,-0.0444560248977277,1.9
Banknote Auth,0,Coopetitive-CV,0.9870129870129871,-0.043820675299180684,1.9
Banknote Auth,0,Shapley,0.9872276483846731,-0.04235148976969539,1.9
Banknote Auth,0,Shapley+SII,0.9867983256413008,-0.043802211456425315,1.9
Banknote Auth,0,Best-Single,0.9859933454974777,-0.044582319907908514,1.9
Banknote Auth,0,Stacking,0.9872276483846731,-0.062079831245299484,
Banknote Auth,1,Equal,0.960341311580981,-0.054599196464989744,1.1
Banknote Auth,1,Perf-Weighted,0.960341311580981,-0.05458664909313579,1.1
Banknote Auth,1,Individual-Only,0.960341311580981,-0.05458664909313579,1.1
Banknote Auth,1,Interaction-Only,0.9586776859504132,-0.05680875102545015,1.1
Banknote Auth,1,Coopetitive-0.5,0.9618439411827842,-0.05366897788821543,1.1
Banknote Auth,1,Coopetitive-CV,0.959053343350864,-0.05834769164948054,1.1
Banknote Auth,1,Shapley,0.9604486422668241,-0.054573455277747034,1.1
