dataset,seed,lambda,auc_roc,neg_brier
Pima Diabetes,4,1.2,0.7967494862693816,-0.17368551108606436
Pima Diabetes,4,1.3,0.7960022417336073,-0.17444509009866158
Pima Diabetes,4,1.4,0.7956286194657203,-0.1745798897673558
Pima Diabetes,4,1.5,0.7950681860638895,-0.17451790810750492
Pima Diabetes,4,1.6,0.795254997197833,-0.17439865649328293
Pima Diabetes,4,1.7,0.7952549971978331,-0.1742695642552942
Pima Diabetes,4,1.8,0.795254997197833,-0.1741467904004151
Pima Diabetes,4,1.9,0.7950681860638894,-0.1740352285926033
Pima Diabetes,4,2.0,0.795254997197833,-0.17393560512620485
Ionosphere,0,0.0,0.9786324786324786,-0.05347446079534209
Ionosphere,0,0.1,0.9786324786324786,-0.05349342621148245
Ionosphere,0,0.2,0.9786324786324786,-0.0535196009387123
Ionosphere,0,0.3,0.9794871794871794,-0.05355793010619748
Ionosphere,0,0.4,0.9794871794871794,-0.05361902498780133
Ionosphere,0,0.5,0.9794871794871794,-0.05372996730569838
Ionosphere,0,0.6,0.9803418803418803,-0.053981457319834926
Ionosphere,0,0.7,0.9794871794871794,-0.054873891205561895
Ionosphere,0,0.8,0.976068376068376,-0.07761520712275849
Ionosphere,0,0.9,0.9692307692307692,-0.09656238467662852
Ionosphere,0,1.0,0.9692307692307692,-0.09454104549794395
Ionosphere,0,1.1,0.9675213675213675,-0.09314437557865622
Ionosphere,0,1.2,0.9666666666666667,-0.09230348984287008
Ionosphere,0,1.3,0.9658119658119658,-0.09175724500831928
Ionosphere,0,1.4,0.9658119658119658,-0.09137727037472071
Ionosphere,0,1.5,0.9658119658119658,-0.0910987362317761
Ionosphere,0,1.6,0.9658119658119658,-0.09088620895458822
Ionosphere,0,1.7,0.9658119658119658,-0.09071888850884957
Ionosphere,0,1.8,0.9658119658119658,-0.0905838240671215
Ionosphere,0,1.9,0.9658119658119658,-0.0904725538125349
Ionosphere,0,2.0,0.9666666666666666,-0.09037932465882613
Ionosphere,1,0.0,0.9658119658119658,-0.06038017884864142
Ionosphere,1,0.1,0.9641025641025641,-0.061139574970409935
Ionosphere,1,0.2,0.964957264957265,-0.062356245150236675
Ionosphere,1,0.3,0.9658119658119658,-0.0644569626803514
Ionosphere,1,0.4,0.9666666666666667,-0.06836273072481015
Ionosphere,1,0.5,0.9606837606837606,-0.07577176303060147
Ionosphere,1,0.6,0.9529914529914529,-0.08754788305434243
Ionosphere,1,0.7,0.9427350427350427,-0.09850527329430954
Ionosphere,1,0.8,0.9376068376068376,-0.10260239516721265
Ionosphere,1,0.9,0.941025641025641,-0.1020712560499901
Ionosphere,1,1.0,0.9452991452991453,-0.10092486790016235
Ionosphere,1,1.1,0.9495726495726495,-0.1004924989362925
Ionosphere,1,1.2,0.9538461538461538,-0.10061968948350421
Ionosphere,1,1.3,0.9555555555555555,-0.10099346169598478
Ionosphere,1,1.4,0.9572649572649573,-0.10143495183473553
Ionosphere,1,1.5,0.9581196581196582,-0.10186648323551431
Ionosphere,1,1.6,0.958119658119658,-0.10226010335094524
Ionosphere,1,1.7,0.958119658119658,-0.10260920111650794
Ionosphere,1,1.8,0.9589743589743589,-0.10291553727719821
Ionosphere,1,1.9,0.9589743589743589,-0.10318369400718022
Ionosphere,1,2.0,0.9589743589743589,-0.10341880063993465
Ionosphere,2,0.0,0.9871794871794871,-0.04919680784312671
Ionosphere,2,0.1,0.9871794871794871,-0.04906177556971043
Ionosphere,2,0.2,0.9871794871794871,-0.04888830372216227
Ionosphere,2,0.3,0.9871794871794871,-0.04865743959762019
Ionosphere,2,0.4,0.9871794871794871,-0.048335565226258065
Ionosphere,2,0.5,0.9871794871794871,-0.04785738012526169
Ionosphere,2,0.6,0.9888888888888888,-0.04708057315824279
Ionosphere,2,0.7,0.9888888888888888,-0.045662972157969425
Ionosphere,2,0.8,0.9897435897435897,-0.043603950207234586
Ionosphere,2,0.9,0.9700854700854701,-0.06046736449566081
Ionosphere,2,1.0,0.9555555555555556,-0.06666761865505463
Ionosphere,2,1.1,0.9547008547008548,-0.06753829913340341
Ionosphere,2,1.2,0.9547008547008548,-0.06779732630509222
Ionosphere,2,1.3,0.9547008547008548,-0.06790901644147572
Ionosphere,2,1.4,0.9547008547008548,-0.06796821573548201
Ionosphere,2,1.5,0.9547008547008548,-0.0680039312279612
Ionosphere,2,1.6,0.9547008547008548,-0.06802746150152215
Ionosphere,2,1.7,0.9547008547008548,-0.06804397716119832
Ionosphere,2,1.8,0.9547008547008548,-0.06805613324789402
Ionosphere,2,1.9,0.9547008547008548,-0.0680654160664408
Ionosphere,2,2.0,0.9547008547008548,-0.0680727154218831
Ionosphere,3,0.0,0.9974358974358974,-0.0321899979515878
Ionosphere,3,0.1,0.9974358974358974,-0.03209922477029486
Ionosphere,3,0.2,0.9974358974358974,-0.03198215956001665
